Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Moore,JohnC.",LIHL119P-HindiforHindiSpeakers(A),SP16,9,5,80.0%,100.0%,4.50,A-(3.80),N/A
"Hill,KimloanT.V.",LIHL124P-IntVietnamese/VietnameseSpkr(A),SP16,15,5,100.0%,100.0%,1.70,A-(3.75),N/A
"Alicio,Atilio",LIHL132P-AdvFilipino/FilipinoSpkrs(A),SP16,27,11,100.0%,100.0%,2.50,A-(3.88),B+(3.53)
"Hill,KimloanT.V.",LIHL134P-AdvVietnamese/VietnameseSpkr(A),SP16,15,10,90.0%,90.0%,4.50,A(4.00),N/A
"Lepic,RyanC",LIGN101-Introduction/StudyofLanguage(A),WI16,65,61,98.3%,100.0%,3.14,B+(3.65),B+(3.48)
"Bakovic,EricJohn",LIGN111-PhonologyI(A),WI16,50,44,95.5%,100.0%,5.94,B+(3.49),B+(3.52)
"Garellek,Marc",LIGN112-SpeechSounds&SpeechDisorders(A),WI16,23,22,100.0%,100.0%,3.95,B+(3.33),B(3.20)
"MunozSanchez,Alicia",LIGN119-1st&2ndLangLrn:ChildtoAdol(A),WI16,45,28,92.3%,96.2%,3.65,B+(3.54),B+(3.32)
"Goodall,GrantTodd",LIGN121-SyntaxI(A),WI16,62,45,95.3%,83.7%,5.02,B(3.29),B(3.06)
"Kluender,Robert",LIGN155-EvolutionofLanguage(A),WI16,33,29,93.1%,96.6%,6.78,B(3.28),B(3.08)
"Kehler,AndrewScott",LIGN17-MakingandBreakingCodes(A),WI16,90,48,95.6%,100.0%,3.55,B+(3.51),B(3.07)
"Rose,Sharon",LIGN177-Multilingualism(A),WI16,42,24,87.0%,100.0%,5.50,B+(3.43),B-(2.90)
"Mayberry,Rachel",LIGN7-SignLanguageanditsCulture(A),WI16,39,37,78.4%,89.2%,4.21,B-(2.91),B-(2.81)
